adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/5acVDrmC6RFcJrCj74CfH5LoIsb.jpg,"{'id': 8050, 'name': 'Highlander Collection', 'poster_path': '/mNIXoyFicGseg9NoG3NHKZolKze.jpg', 'backdrop_path': '/gY5NPUGGJJdaGPlEM6f2pfHNtit.jpg'}",25000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",,12211,tt0144964,en,Highlander: Endgame,"Immortals Connor and Duncan Macleod join forces against a man from Connor's distant past in the highlands of Scotland, Kell, an immensely powerful immortal who leads an army of equally powerful and deadly immortal swordsmen and assassins. No immortal alive has been able to defeat Kell yet, and neither Connor nor Duncan are skilled enough themselves to take him on and live. The two of them eventually come to one inevitable conclusion; one of them must die so that the combined power of both the Highlanders can bring down Kell for good. There can be only one... the question is, who will it be?",10.619,/pFgdn4kwtgLjd73lXFtif7G2GWs.jpg,"[{'id': 2737, 'logo_path': None, 'name': 'Davis-Panzer Productions', 'origin_country': ''}, {'id': 7405, 'logo_path': '/rfnws0uY8rsNAsrLbx3gEIcYXx3.png', 'name': 'Dimension Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-09-01,15843608,87,"[{'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'gd', 'name': ''}, {'iso_639_1': 'en', 'name': 'English'}]",Released,"It will take two immortals to defeat the ultimate evil. But in the end, there can be only one.",Highlander: Endgame,False,4.8,236
False,,,0,[],,233407,tt0365162,en,Endgame,An adaptation of Samuel Beckett's play.,1.712,,[],[],1989-01-01,0,90,[],Released,,Endgame,False,0.0,0
False,,,0,[],https://myspace.com/luiscamara/video/endgame/1844785,320200,tt0299847,en,Endgame,An ordinary chess game between a man and a woman turns into a battle of the sexes.,1.151,,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1999-12-01,0,8,[],Released,,Endgame,False,7.0,2
False,/kd95nBirBiMK5AjMlrB2eqIY7HA.jpg,,0,"[{'id': 18, 'name': 'Drama'}]",https://www.facebook.com/endgamemovie,376651,tt2941396,en,Endgame,"Since he was 5 yrs old, Jose's abuelita taught him to play chess like his grandfather who was a champion in Mexico. Now as part of the Brownsville school team, Jose has the chance to use his skills and for once in his life, finds himself in the spotlight, as he tries to help his team make it to the Texas state finals. As their coach, Mr. Alvarado, teaches his students the meaning of perseverance and team effort in the face of adversity, Jose discovers his own strengths and uses them to bring his broken family together.",7.151,/bx2qO3rfiOL6LXtbWlTDzFNQEcZ.jpg,"[{'id': 80274, 'logo_path': None, 'name': 'Sparkhope Productions', 'origin_country': ''}, {'id': 80275, 'logo_path': None, 'name': 'Avila Entertainment', 'origin_country': ''}, {'id': 80276, 'logo_path': None, 'name': 'Late Bloomer Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-09-25,0,90,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Endgame,False,5.8,6
False,,,0,"[{'id': 27, 'name': 'Horror'}]",,353227,tt0416821,en,Horror 102: Endgame,"A group of high school/university students are staying in an abandoned insane asylum  as part of a school project field trip, which turns out to be haunted by the tormented spirits of it's previous inhabitants.",2.171,,"[{'id': 4824, 'logo_path': '/7hbsinpDzqlWbjp6jumTFcmUnOj.png', 'name': 'Taurus Entertainment Company', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-09-04,0,0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Horror 102: Endgame,False,1.0,2
False,/oDvkt6sbGBLXt6EfPgl5ozoIb2f.jpg,"{'id': 407273, 'name': 'Dead Rising Collection', 'poster_path': '/8ovcesEVWJE0ajsd9X9jvSy5Vjq.jpg', 'backdrop_path': '/5XvDksmqMvsDgNbVYOgIJiZ5L0W.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]",,400605,tt5481404,en,Dead Rising: Endgame,Investigative reporter Chase Carter must stop a secret government conspiracy in the zombie infested quarantine zone of East Mission City.,13.54,/yQZCTiMWnXNTeKtnBAOmGdUT0rf.jpg,"[{'id': 37217, 'logo_path': None, 'name': 'Contradiction Films', 'origin_country': ''}, {'id': 59429, 'logo_path': None, 'name': 'Legendary Digital Media', 'origin_country': ''}, {'id': 78424, 'logo_path': None, 'name': 'DR2 Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-06-20,0,96,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Dead Rising: Endgame,False,4.9,110
False,,,3500000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,256740,tt2761578,en,Wicked Blood,"Hannah and Amber Baker are trapped in a dark Southern underworld of violence, drugs and bikers. Both live in fear of their ""Uncle Frank"" Stinson, the ruthless leader of a crime organization.",4.669,/5WQzZoWqQBwVs1itHY5dHuSBksR.jpg,"[{'id': 7720, 'logo_path': None, 'name': 'NAZZ Productions', 'origin_country': ''}, {'id': 20305, 'logo_path': None, 'name': 'Industrial Entertainment', 'origin_country': ''}, {'id': 20306, 'logo_path': None, 'name': 'Primary PIctures', 'origin_country': ''}, {'id': 20307, 'logo_path': None, 'name': 'Thunder Smoke Media', 'origin_country': ''}, {'id': 23688, 'logo_path': None, 'name': 'VMI Worldwide', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-03-04,0,92,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Ultimate Endgame,Wicked Blood,False,5.5,58
False,/oJk602G6mEnhuyEOvUroCQIXASi.jpg,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",,718185,,en,BCTV: Endgame,"The Bishop Carroll TV Broadcasting class faces its most dangerous challenge yet when their new broadcast is completely erased. The senior Class of 2020 takes the reigns to save the broadcast, but in the process faces a dangerous journey through time and must reflect on the unavoidable and emotional end of their high school career.",0.94,/sKnjNsZ2AKYHOSxKgjIaBKAqOTk.jpg,"[{'id': 136162, 'logo_path': None, 'name': 'BCTV Studios', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-07-10,0,24,[],Released,It All Ends,BCTV: Endgame,False,6.0,2
False,,,0,[],,742506,,en,Avengers: Endgame - Extra credit Scenes,en:End Credits  00:00:00 Featurettes  00:00:05 Remembering Stan Lee  00:07:20 Setting The Tone: Casting Robert Downey Jr.  00:12:45 A Man Out of Time: Creating Captain America  00:25:03 Black Widow: Whatever It Takes  00:32:28 The Russo Brothers: Journey to Endgame  00:37:29 The Women of the MCU  00:42:22 Bro Thor  00:46:04 Steve and Peggy: One Last Dance  00:51:58 Deleted Scenes  00:52:02 Goji Berries  00:52:39 Bombs on Board  00:53:08 Suckiest Army in the Galaxy  00:53:34 You Used to Frickin’ Live Here  00:54:43 Tony and Howard  00:55:11 Avengers Take a Knee  00:56:52 Gag Reel  00:58:54 Visionary Intro  01:01:27 Writer and Director Audio Commentary,0.964,,[],[],,0,65,[],Released,,Avengers: Endgame - Extra credit Scenes,True,0.0,0
False,/c7bnPbDmCpsku9bG3F1LptpfGC3.jpg,,22000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,15102,tt1217616,en,Endgame,"The time is the late '80s, a crucial period in the history of South Africa. President P.W. Botha is hanging on to power by a thread as the African National Congress (ANC) takes up arms against  apartheid and the country tumbles toward insurrection. A British mining concern is convinced that their interests would be better served in a stable South Africa and they quietly dispatch Michael Young, their head of public affairs, to open an unofficial dialogue between the bitter rivals.  Assembling a reluctant yet brilliant team to pave the way to reconciliation by confronting obstacles that initially seem insurmountable, Young places his trust in ANC leader Thabo Mbeki and Afrikaner philosophy professor Willie Esterhuyse. It is their empathy that will ultimately serve as the catalyst for change by proving more powerful than the terrorist bombs that threaten to disrupt the peaceful dialogue.",4.304,/b8WzwCABwVRVdw14OcE6pmezJjK.jpg,"[{'id': 773, 'logo_path': '/8GHHXJTeF5XU5a5EN6myMiYwSJh.png', 'name': 'Film Afrika Worldwide', 'origin_country': 'ZA'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2009-01-18,0,109,"[{'iso_639_1': 'xh', 'name': ''}, {'iso_639_1': 'af', 'name': 'Afrikaans'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,,Endgame,False,6.0,28
